Período,Agropecuária,Indústria_extr_mineral,Industria_transformação,Indústria_energia_saneamento,Indústria_construção_civil,Indústria_total,Serviços_comércio,Serviços_transporte,Serviços_outros,Serviços_adm_pública,Serviços_total,VA,Impostos,PIB
2014.III,141.09518444299,167.812102281461,111.832298800857,110.173974822888,162.05391261048,125.041414083417,159.229040232207,140.807407226899,150.653255579159,127.934706491994,145.52841713899,138.466629971844,160.599064027938,141.167704003652
2014.IV,176.398615053596,164.053956571787,110.864984058725,111.300600615229,163.551096006026,123.957200448364,160.149898674321,139.005939018426,150.691092261911,127.703444882329,145.63245233239,140.793418261616,162.409440714259,143.384041740879
2015.I,135.181785320195,188.343042206615,110.146494926097,113.535418305208,156.122847612339,125.459304200587,157.981683853128,135.681446786456,148.409512918333,126.824777340012,143.001869977196,137.730814857968,157.381746718738,140.266141728445
2015.II,141.047184321149,183.575772684521,104.350430346946,107.261657901933,149.482508227832,120.013685724875,152.511993376507,133.863250597679,147.010443053136,126.465591059792,141.376170168324,134.238275392571,152.313527697646,136.676270930445
2015.III,150.276415425433,179.843468522762,99.9128242657553,103.288569713729,145.327966755876,116.750557778562,149.497990484489,130.886985838011,145.914579553107,126.517927596865,140.322873593851,133.554083916367,151.137073327208,135.670052942063
2015.IV,160.288376252659,163.793384513082,99.8389686658484,109.352996676352,141.744725727649,114.039150467217,148.219965643655,129.873078081252,144.665662976471,126.837509102516,139.787139182204,133.046648861393,149.415476829037,135.102833245458
2016.I,156.208192712741,149.285433302721,98.7411935959395,117.21219155255,139.067550520057,112.74759948115,151.572955329238,129.865415582477,143.987934962889,127.375524921693,139.979975128409,132.46932450931,149.45816036574,134.909518383725
2016.II,156.182138585432,142.586294300455,100.899512125672,124.394182168107,133.282247439216,112.520216010956,150.635407812875,129.133982413547,144.511460284464,127.365101169636,140.050973026647,132.262429040109,149.49996672164,134.420142399353
2016.III,156.823520145358,142.848664221196,100.586494765945,127.745183547586,127.977705963452,112.462350426101,149.818921548573,126.826062481298,143.394244603114,127.206668673109,139.307162555172,131.926097095018,148.487980362614,133.938904572449
2016.IV,152.146461482008,150.831786613878,96.9865644390181,130.29075537846,123.989816215736,110.969684068598,149.994403023104,126.204416097451,142.853785717251,126.906679720382,138.434335290193,131.316623474983,147.450877182041,133.28151077944
2017.I,164.911501925633,182.098713511571,99.4094199002004,128.716445141356,121.931995539317,113.038793741126,153.93082819097,128.224755565838,144.495932594152,126.872769363925,140.303023856223,133.19236834757,149.476782554007,134.725324814288
2017.II,162.511689933718,164.904395968829,100.508530583836,125.694357069923,121.318731825417,113.329612268162,158.710943853353,128.076558293476,145.896612329694,127.46815789801,141.887553323044,134.194573407426,152.076150369679,137.29801684632
2017.III,148.656477576565,153.465239448398,102.743387023341,126.19707967063,117.178680756882,112.688293553388,160.622585767384,127.423965508731,147.393359481767,127.513280330096,142.641859537139,133.978309705287,153.181514491835,136.253359343271
2017.IV,154.637817152337,150.113792743195,102.762847555166,119.196565422703,118.900738926349,111.845905520895,162.835204728209,126.550923814725,149.004176100636,127.580521209751,143.561633943127,134.599111594447,155.12816430015,137.107666923835
2018.I,161.549454672572,156.947999858819,101.825946149643,118.942706145452,119.01615186026,110.914894400622,163.89053852139,124.465916441381,148.657611511262,127.14243304553,144.040980732754,134.648857303329,154.457012530011,137.513331190953
2018.II,173.677682711353,153.000852509022,101.484537086851,121.690608173493,118.261323528986,111.351060001014,162.091689916092,123.918704997657,148.206797727512,126.844596857185,143.794711152376,135.585086294875,154.210232523758,137.720330217402
2018.III,181.60047834252,147.303426656952,101.385227249758,124.042234351765,118.016424599908,110.976540650428,163.773776065643,125.713585203513,148.651263573449,126.841160170341,144.04801157173,136.073383061897,158.320371810886,138.755963417937
2018.IV,172.510837511461,147.759552924268,103.126694581382,117.419962996277,118.578198950428,111.169300756365,164.072610321882,123.460912936605,147.785504050461,126.517325739997,143.84446564561,135.440735799898,153.418805600986,137.71292067517
2019.I,169.399791096059,139.525646379184,102.681963157291,130.623942930474,120.211692458853,109.875283102743,164.439541953839,123.942685359956,148.179589280274,128.090641963645,144.22021261488,135.611647121779,156.563138742223,137.810385375452
2019.II,183.602187059899,99.4931618836773,103.324704488716,130.079228218459,122.900262587918,108.312016222655,166.51753507001,121.084067241432,148.447628381009,127.030346607347,144.457002493137,134.887016726858,156.416656236733,138.037470896663
2019.III,156.895681891985,107.243686216475,101.739990324611,133.320696705406,123.870207282245,108.23897889537,168.883263951495,120.798800574847,149.43420088139,125.206046775381,144.824453830049,133.99141473857,155.443346745026,136.60097347176
2019.IV,173.015021730623,105.215973502938,100.120769378689,135.663995003049,121.991367868823,106.443972236712,168.457752151398,120.709911993671,151.642901567837,126.804781082242,145.410537165267,135.20517117482,155.274218855391,137.842938324159
